Cable_Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.2,300,1.373585
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.2,700,1.519547
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.2,1100,1.449539
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.4,300,1.235498
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.4,700,1.661195
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.4,1100,1.553193
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.6,300,1.508268
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.6,700,1.497579
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.6,1100,1.200998
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.8,300,1.414339
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.8,700,1.424267
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.2,0.8,1100,1.286379
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.2,300,1.471752
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.2,700,1.433449
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.2,1100,1.266498
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.4,300,1.245783
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.4,700,1.403045
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.4,1100,1.221764
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.6,300,1.492548
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.6,700,1.157334
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.6,1100,1.488635
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.8,300,1.406199
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.8,700,1.273467
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.4,0.8,1100,1.307862
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.2,300,1.542487
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.2,700,1.432975
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.2,1100,1.585949
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.4,300,1.555631
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.4,700,1.476078
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.4,1100,1.437975
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.6,300,1.458888
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.6,700,1.456446
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.6,1100,1.510312
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.8,300,1.492668
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.8,700,1.419872
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.6,0.8,1100,1.426278
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.2,300,1.406232
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.2,700,1.58273
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.2,1100,1.335691
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.4,300,1.142514
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.4,700,1.40055
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.4,1100,1.338359
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.6,300,1.404569
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.6,700,1.572906
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.6,1100,1.522456
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.8,300,1.436996
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.8,700,1.497609
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,0,0.8,0.8,1100,1.248201
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.2,300,1.376496
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.2,700,1.305209
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.2,1100,1.276443
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.4,300,1.226183
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.4,700,1.227412
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.4,1100,1.270609
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.6,300,1.261008
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.6,700,1.235695
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.6,1100,1.203454
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.8,300,1.287757
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.8,700,1.249342
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.2,0.8,1100,1.175062
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.2,300,1.368388
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.2,700,1.357736
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.2,1100,1.115796
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.4,300,1.137848
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.4,700,1.064331
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.4,1100,1.048318
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.6,300,1.222459
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.6,700,1.192408
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.6,1100,1.191747
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.8,300,1.284553
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.8,700,1.265738
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.4,0.8,1100,1.21695
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.2,300,1.341704
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.2,700,1.366351
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.2,1100,1.378472
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.4,300,1.240973
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.4,700,1.259454
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.4,1100,1.301355
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.6,300,1.083844
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.6,700,1.299887
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.6,1100,1.184448
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.8,300,1.299215
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.8,700,1.324206
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.6,0.8,1100,1.282269
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.2,300,1.403324
25mCabPink,-4.89,-7.13,-9.7,-19.95,-22.99,-34.84,1000,0,1,2,0.8,0.2,700,1.24926
