Cable_Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,0,0.2,0.8,1100,1.49991
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,0,0.2,0.4,1100,1.462497
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,7,0.6,0.2,1100,1.460708
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,0,0.2,0.8,700,1.456911
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,5,0.2,0.8,700,1.451882
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.6,0.2,700,1.449796
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,7,0.6,0.2,300,1.442815
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,0,0.2,0.2,700,1.441007
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,0,0.6,0.6,1100,1.440533
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,0,0.2,0.4,700,1.433607
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,7,0.6,0.2,700,1.433084
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,0,0.2,0.8,1100,1.432833
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,7,5,0.2,0.4,700,1.432487
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,7,5,0.2,0.4,300,1.426205
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,7,7,0.2,0.4,300,1.42612
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,7,7,0.2,0.4,300,1.413863
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,7,5,0.4,0.4,300,1.412663
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,7,5,0.6,0.4,300,1.407763
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.4,0.2,700,1.406566
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,0,0.2,0.2,300,1.40552
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,0,0.2,0.8,1100,1.398223
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,0,0.2,0.8,300,1.388302
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,3,7,0.2,0.8,300,1.387895
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,0,0.2,0.2,300,1.387519
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.6,0.2,300,1.386724
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,7,0.6,0.6,700,1.385892
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,2,0.8,0.8,300,1.385236
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,0,0.2,0.6,300,1.381075
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,5,0.4,0.8,300,1.381023
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,2,0.8,0.8,300,1.380542
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,0,0.2,0.4,300,1.380204
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.8,0.2,700,1.37999
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,7,0.2,0.2,300,1.378713
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,3,7,0.8,0.8,1100,1.375527
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.4,0.2,300,1.375454
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,2,0.2,0.8,300,1.374168
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,3,2,0.2,0.6,1100,1.373
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,5,0.2,0.2,1100,1.3726
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,0,0.2,0.8,700,1.37105
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,7,0.6,0.2,700,1.37046
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,0,0.2,0.6,300,1.369399
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,7,0.8,0.2,1100,1.367232
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.4,0.6,300,1.366047
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.4,0.2,1100,1.364579
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.6,0.6,300,1.363119
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,2,0.2,0.8,700,1.361368
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.6,0.2,1100,1.36087
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.2,0.6,700,1.360329
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,5,0.4,0.8,300,1.360307
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,2,0.8,0.8,1100,1.359965
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,2,0.2,0.8,300,1.358527
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,5,0.6,0.8,700,1.35608
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,5,0.8,0.2,700,1.352824
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.2,0.6,300,1.349889
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,7,0.6,0.6,300,1.349434
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,3,2,0.2,0.6,700,1.348669
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,2,0.2,0.8,700,1.346273
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.6,0.4,300,1.34614
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,7,5,0.2,0.4,300,1.345874
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.2,0.2,1100,1.344896
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,3,7,0.8,0.8,700,1.344321
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.6,0.6,700,1.343336
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,7,0.4,0.2,1100,1.342415
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.4,0.6,700,1.341171
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,5,0.6,0.2,300,1.340724
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,2,1,5,0.2,0.2,700,1.340708
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.8,0.6,300,1.340302
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,3,7,0.4,0.8,300,1.339231
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.6,0.2,1100,1.338627
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,5,0.4,0.6,300,1.337986
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.8,0.6,700,1.3373
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,1,2,0.2,0.6,700,1.33644
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,2,0.4,0.8,700,1.335947
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,7,5,0.2,0.4,700,1.335474
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,5,0,0.2,0.4,1100,1.334969
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,5,7,2,0.4,0.8,1100,1.333712
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,7,0.2,0.2,700,1.333581
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,2,0.4,0.2,1100,1.333186
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,3,0,0.2,0.8,1100,1.332992
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.6,0.8,300,1.332613
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.4,0.2,1100,1.331471
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.6,0.6,1100,1.331397
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.2,0.8,300,1.330073
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,0,1,0,0.2,0.8,700,1.329802
35mCab,-5.64,-7.79,-10.38,-23.07,-32.62,-51.37,1000,7,1,7,0.4,0.8,300,1.329743
