Cable_Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.2,300,1.734977
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.2,700,1.729442
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.2,1100,1.679794
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.4,300,1.705927
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.4,700,1.798246
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.4,1100,1.689834
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.6,300,1.767745
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.6,700,1.754424
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.6,1100,1.707614
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.8,300,1.762639
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.8,700,1.694857
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.2,0.8,1100,1.737465
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.2,300,1.709558
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.2,700,1.722614
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.2,1100,1.706015
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.4,300,1.755799
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.4,700,1.764395
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.4,1100,1.7662
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.6,300,1.757147
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.6,700,1.719298
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.6,1100,1.69158
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.8,300,1.759328
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.8,700,1.695903
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.4,0.8,1100,1.769875
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.2,300,1.766523
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.2,700,1.744678
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.2,1100,1.755893
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.4,300,1.708189
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.4,700,1.747365
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.4,1100,1.827843
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.6,300,1.762414
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.6,700,1.774212
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.6,1100,1.739718
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.8,300,1.74068
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.8,700,1.70845
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.6,0.8,1100,1.784766
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.2,300,1.733785
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.2,700,1.727391
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.2,1100,1.754264
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.4,300,1.770897
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.4,700,1.755826
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.4,1100,1.748669
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.6,300,1.772851
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.6,700,1.765045
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.6,1100,1.736583
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.8,300,1.754243
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.8,700,1.713197
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,0,0.8,0.8,1100,1.779537
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,2,0.2,0.2,300,1.57552
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,2,0.2,0.2,700,1.538433
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,2,0.2,0.2,1100,1.851102
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,2,0.2,0.4,300,1.650124
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,2,0.2,0.4,700,1.616654
Case4,-3.57,-3.7,-3.83,-4.8,-5.93,-30.57,1000,0,1,2,0.2,0.4,1100,1.679601
