Cable Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.2,300,1.820429
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.2,700,1.823403
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.2,1100,1.823244
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.4,300,1.820281
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.4,700,1.82315
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.4,1100,1.823365
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.6,300,1.82013
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.6,700,1.82237
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.6,1100,1.823376
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.8,300,1.820072
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.8,700,1.821785
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.2,0.8,1100,1.824663
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.2,300,1.821709
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.2,700,1.824746
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.2,1100,1.823339
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.4,300,1.821341
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.4,700,1.825279
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.4,1100,1.825615
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.6,300,1.821332
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.6,700,1.822166
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.6,1100,1.823525
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.8,300,1.821681
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.8,700,1.822152
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.4,0.8,1100,1.8244
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.2,300,1.832652
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.2,700,1.836847
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.2,1100,1.836519
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.4,300,1.831535
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.4,700,1.838549
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.4,1100,1.839065
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.6,300,1.832954
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.6,700,1.83631
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.6,1100,1.836755
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.8,300,1.83095
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.8,700,1.83401
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.6,0.8,1100,1.837786
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.2,300,1.831379
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.2,700,1.831881
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.2,1100,1.837151
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.4,300,1.829682
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.4,700,1.837809
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.4,1100,1.838347
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.6,300,1.832632
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.6,700,1.837038
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.6,1100,1.836091
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.8,300,1.831493
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.8,700,1.834883
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,0,0.8,0.8,1100,1.838178
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,2,0.2,0.2,300,1.820046
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,2,0.2,0.2,700,1.818474
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,2,0.2,0.2,1100,1.823281
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,2,0.2,0.4,300,1.811546
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,2,0.2,0.4,700,1.821791
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,2,0.2,0.4,1100,1.838817
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,2,0.2,0.6,300,1.814156
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,2,0.2,0.6,700,1.8262
Nexo3m,-4.03,-5.27,-6.8,-14.15,-19.79,-38.91,1000,0,1,2,0.2,0.6,1100,1.828159
