Cable Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.2,300,2.260528
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.2,700,2.098849
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.2,1100,2.03535
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.4,300,2.566792
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.4,700,2.105473
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.4,1100,2.069452
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.6,300,2.463447
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.6,700,2.067721
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.6,1100,1.643439
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.8,300,2.433435
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.8,700,2.246992
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.2,0.8,1100,1.884201
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.2,300,2.681209
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.2,700,2.11843
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.2,1100,2.063417
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.4,300,2.793586
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.4,700,2.116014
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.4,1100,1.958675
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.6,300,2.620184
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.6,700,2.176023
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.6,1100,1.594411
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.8,300,2.263092
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.8,700,2.215748
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.4,0.8,1100,1.807008
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.2,300,2.336051
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.2,700,2.118805
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.2,1100,2.118541
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.4,300,2.349513
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.4,700,2.234324
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.4,1100,1.932651
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.6,300,2.672721
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.6,700,2.269371
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.6,1100,1.647802
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.8,300,2.465995
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.8,700,2.110758
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.6,0.8,1100,1.824094
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.2,300,2.812997
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.2,700,2.080466
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.2,1100,2.012156
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.4,300,2.530958
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.4,700,2.231282
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.4,1100,1.911011
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.6,300,2.545553
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.6,700,2.261108
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.6,1100,1.633958
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.8,300,2.460321
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.8,700,2.091587
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,0,0.8,0.8,1100,1.787869
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.2,300,2.974566
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.2,700,2.500508
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.2,1100,2.560302
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.4,300,2.849506
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.4,700,2.782445
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.4,1100,2.864288
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.6,300,2.905003
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.6,700,2.743929
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.6,1100,2.906278
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.8,300,3.141417
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.8,700,2.857921
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.2,0.8,1100,2.552178
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.2,300,2.83141
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.2,700,2.462828
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.2,1100,2.59501
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.4,300,2.888109
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.4,700,2.869934
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.4,1100,2.685206
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.6,300,2.98366
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.6,700,2.681639
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.6,1100,2.944537
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.8,300,3.208346
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.8,700,2.841302
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,2,0.4,0.8,1100,2.55863
