Cable_Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.2,300,1.820429
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.2,700,1.823403
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.2,1100,1.823244
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.4,300,1.820281
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.4,700,1.82315
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.4,1100,1.823365
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.6,300,1.82013
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.6,700,1.82237
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.6,1100,1.823376
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.8,300,1.820072
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.8,700,1.821785
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.2,0.8,1100,1.824663
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.2,300,1.821709
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.2,700,1.824746
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.2,1100,1.823339
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.4,300,1.821341
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.4,700,1.825279
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.4,1100,1.825615
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.6,300,1.821332
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.6,700,1.822166
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.6,1100,1.823525
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.8,300,1.821681
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.8,700,1.822152
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.4,0.8,1100,1.8244
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.6,0.2,300,1.832652
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.6,0.2,700,1.836847
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.6,0.2,1100,1.836519
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.6,0.4,300,1.831535
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.6,0.4,700,1.838549
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.6,0.4,1100,1.839065
PetersB12,-3.14,-3.24,-3.34,-4.05,-4.91,-22.55,1000,0,1,0,0.6,0.6,300,1.832954
